Frequency,Filter
150000000,-54.1
160000000,-91.52
170000000,-91.19
180000000,-89.95
190000000,-90.07
200000000,-79.85
210000000,-88.88
220000000,-87.07
230000000,-86.46
240000000,-88.96
250000000,-72.09
260000000,-90.68
270000000,-89.04
280000000,-88.22
290000000,-89.96
300000000,-55.81
310000000,-85
320000000,-79.95
330000000,-86.87
340000000,-90.79
350000000,-70.82
360000000,-90.33
370000000,-91.1
380000000,-93.74
390000000,-92.57
400000000,-75.23
410000000,-91.73
420000000,-90.16
430000000,-90.89
440000000,-90.36
450000000,-78.61
460000000,-91.27
470000000,-90.14
480000000,-90.74
490000000,-89.25
500000000,-60.87
510000000,-89.75
520000000,-91.54
530000000,-89.95
540000000,-89.53
550000000,-62.22
560000000,-89.75
570000000,-92.5
580000000,-89.43
590000000,-89.68
600000000,-80.58
610000000,-90.65
620000000,-89.47
630000000,-89.63
640000000,-90.21
650000000,-90.61
660000000,-90.57
670000000,-90.37
680000000,-90.08
690000000,-84.27
700000000,-90.14
710000000,-92.6
720000000,-90.44
730000000,-90.45
740000000,-89.13
750000000,-80.08
760000000,-89.74
770000000,-90.91
780000000,-89.65
790000000,-89.32
800000000,-89.53
810000000,-94.28
820000000,-90.96
830000000,-90.76
840000000,-90.99
850000000,-88.38
860000000,-88.97
870000000,-90.01
880000000,-91.36
890000000,-89.92
900000000,-90.97
910000000,-91.64
920000000,-89.65
930000000,-91.71
940000000,-89.4
950000000,-91.02
960000000,-91.27
970000000,-90.5
980000000,-91.39
990000000,-92
1000000000,-90.8
1010000000,-91.89
1020000000,-89.83
1030000000,-92.16
1040000000,-90.29
1050000000,-89.97
1060000000,-91.72
1070000000,-91.27
1080000000,-89.86
1090000000,-91.02
1100000000,-86.59
1110000000,-91.79
1120000000,-90.54
1130000000,-88.85
1140000000,-87.73
1150000000,-86.43
1160000000,-90.26
1170000000,-90.33
1180000000,-90.05
1190000000,-89.72
1200000000,-77.25
1210000000,-88.87
1220000000,-90.61
1230000000,-89.07
1240000000,-87.01
1250000000,-76.85
1260000000,-89.24
1270000000,-88.22
1280000000,-88.88
1290000000,-90.08
1300000000,-82.05
1310000000,-90.74
1320000000,-89.58
1330000000,-90.17
1340000000,-89.23
1350000000,-85.28
1360000000,-90.23
1370000000,-92.59
1380000000,-87.07
1390000000,-89.26
1400000000,-86.15
1410000000,-90.79
1420000000,-89.58
1430000000,-90.4
1440000000,-90.2
1450000000,-90.4
1460000000,-88.81
1470000000,-91.62
1480000000,-90.35
1490000000,-90.14
1500000000,-91.39
1510000000,-90.69
1520000000,-92.51
1530000000,-90.68
1540000000,-89.99
1550000000,-87.37
1560000000,-90.97
1570000000,-91.18
1580000000,-91.37
1590000000,-88.27
1600000000,-90.46
1610000000,-91.46
1620000000,-91.59
1630000000,-89.01
1640000000,-90.52
1650000000,-90.66
1660000000,-90.83
1670000000,-90.53
1680000000,-88.75
1690000000,-87.45
1700000000,-88.78
1710000000,-90.01
1720000000,-89.4
1730000000,-86.76
1740000000,-90.1
1750000000,-86.46
1760000000,-87.45
1770000000,-86.56
1780000000,-85.65
1790000000,-84.4
1800000000,-82.19
1810000000,-81.81
1820000000,-83.18
1830000000,-83.63
1840000000,-86.1
1850000000,-86.15
1860000000,-87.68
1870000000,-87.99
1880000000,-87.18
1890000000,-87.13
1900000000,-86.23
1910000000,-91.88
1920000000,-86.58
1930000000,-89.15
1940000000,-86.24
1950000000,-84.78
1960000000,-84.2
1970000000,-83
1980000000,-84.83
1990000000,-85.89
2000000000,-82.47
2010000000,-81.09
2020000000,-80.74
2030000000,-78.42
2040000000,-76.96
2050000000,-73.33
2060000000,-69.12
2070000000,-64.95
2080000000,-59.21
2090000000,-53.43
2100000000,-49.91
2110000000,-46.9
2120000000,-42.33
2130000000,-35.54
2140000000,-23.45
2150000000,-21.42
2160000000,-20.82
2170000000,-26.3
2180000000,-41.65
2190000000,-50.11
2200000000,-57.03
2210000000,-63.03
2220000000,-68
2230000000,-71.8
2240000000,-75.19
2250000000,-77.62
2260000000,-81.48
2270000000,-82.99
2280000000,-82.55
2290000000,-85.08
2300000000,-84.6
2310000000,-84.11
2320000000,-87.15
2330000000,-85.28
2340000000,-87.1
2350000000,-88.42
2360000000,-86.63
2370000000,-84.38
2380000000,-88.86
2390000000,-88.09
2400000000,-89.04
2410000000,-91.73
2420000000,-89.93
2430000000,-89.67
2440000000,-91.18
2450000000,-91.35
2460000000,-91.73
2470000000,-91.83
2480000000,-88.92
2490000000,-91.09
2500000000,-91.54
