"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";
"7";"";"C-EUC0603";"C0603";"C20, C21, C22, C23, C24, C25, C26";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"";"L-EUL2012C";"L2012C";"L1";"INDUCTOR, European symbol";"";"";"";"";"";"";"";
"1";"";"PINHD-1X12/90";"1X12/90";"JP1";"PIN HEADER";"";"";"";"";"";"";"";
"7";"";"R-EU_R0603";"R0603";"L2, L3, L4, L5, L6, L7, L8";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"";"SJ2W";"SJ_2";"SJ1, SJ2";"SMD solder JUMPER";"";"";"";"";"";"";"";
"2";"100";"R-EU_R0603";"R0603";"R5, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"100n";"C-EUC0603";"C0603";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"5";"100p";"C-EUC0603";"C0603";"C10, C11, C12, C13, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"10n";"C-EUC0603";"C0603";"C1, C2, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"10u";"C-EUC1206";"C1206";"C18, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"180p";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"1n";"C-EUC0603";"C0603";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"220";"R-EU_R0603";"R0603";"R8, R9, R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"22k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"330p";"C-EUC0603";"C0603";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"33p";"C-EUC0603";"C0603";"C3, C4, C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"470";"R-EU_R0603";"R0603";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"51k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"8p2";"C-EUC0603";"C0603";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"FILT";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X4, X5";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";"";"";
"2";"Green";"LED_ESML0603";"LED_SML0603";"LED1, LED3";"LED";"";"";"";"";"NONE";"D";"diode";
"1";"IF_OUT";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X3";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";"";"";
"1";"REF_IN";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X1";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";"";"";
"1";"RFFC5072";"RFFC5072";"QFN50P500X500X95-33T370";"IC1";"";"";"";"";"";"";"";"";
"1";"RFXF8553";"RFXF8553";"S20";"B1";"";"";"";"";"";"";"";"";
"1";"RFXF9503";"RFXF9503";"S20";"B2";"";"";"";"";"";"";"";"";
"1";"RF_IN";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X2";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";"";"";
"1";"Red";"LED_ESML0603";"LED_SML0603";"LED2";"LED";"";"";"";"";"NONE";"D";"diode";
