18745000;-75.8875
18745100;-33.895
18745200;-28.4325
18745300;-25.915
18745400;-24.89
18745500;-25.1125
18745600;-26.7675
18745700;-30.585
18745800;-41.8475
18745900;-35.7075
18746000;-28.2175
18746100;-24.8675
18746200;-23.3275
18746300;-23.19
18746400;-24.195
18746500;-27.0975
18746600;-34.4175
18746700;-39.905
18746800;-28.005
18746900;-23.6575
18747000;-21.5475
18747100;-20.8775
18747200;-21.4025
18747300;-23.495
18747400;-28.59
18747500;-69.3775
18747600;-27.66
18747700;-22.065
18747800;-19.3
18747900;-18.02
18748000;-18.0325
18748100;-19.4375
18748200;-23.02
18748300;-34.3525
18748400;-27.6625
18748500;-19.7475
18748600;-15.9725
18748700;-14.04
18748800;-13.3275
18748900;-13.875
18749000;-16.2075
18749100;-22.825
18749200;-27.585
18749300;-14.8175
18749400;-9.405
18749500;-5.9925
18749600;-3.6475
18749700;-1.99
18749800;-0.895
18749900;-0.26
18750000;-0.06
18750100;-0.2625
18750200;-0.89
18750300;-1.9925
18750400;-3.65
18750500;-5.9975
18750600;-9.415
18750700;-14.8075
18750800;-27.405
18750900;-22.76
18751000;-16.2575
18751100;-13.89
18751200;-13.3425
18751300;-14.015
18751400;-15.9425
18751500;-19.7
18751600;-27.725
18751700;-34.2775
18751800;-23.1025
18751900;-19.425
18752000;-18.0525
18752100;-18.0425
18752200;-19.2925
18752300;-22.095
18752400;-27.695
18752500;-72.135
18752600;-28.59
18752700;-23.5325
18752800;-21.3975
18752900;-20.815
18753000;-21.5575
18753100;-23.6625
18753200;-27.8975
18753300;-39.7925
18753400;-34.28
18753500;-27.2375
18753600;-24.195
18753700;-23.1025
18753800;-23.315
18753900;-24.87
18754000;-28.2575
18754100;-35.8075
18754200;-42.07
18754300;-30.6775
18754400;-26.77
18754500;-25.005
18754600;-24.8525
18754700;-25.9225
18754800;-28.4575
18754900;-33.9025
